Item Name,Qty,Notes,Link
Motor,1,,
STM32 NUCLE OG070RB,1,,https://www.google.com/aclk?sa=L&ai=DChsSEwiPsYLnhp2WAxWmB3sHHf5cEUoYACICCAEQCRoCdG0&ae=2&co=1&ase=2&gclid=CjwKCAjw1vXTBhB-EiwAEKr_k7zYvHRONFpq5riy4C_hKjYpegUQEinhE1IIUSoBRpzbv6LD9oD_qxoCW0EQAvD_BwE&cid=CAASWeRo8fvqup_qQXPCNVaHBAMrat4_S6J8TfBIOl4NuYPLvc2Ro_TCH0olbxj7ZdQmwIuqB_Q2XBjkyyOqHQCVmAM9n_CMa9j2zBF1sF-Jy6KtwVoC79B1wTyB&cce=2&category=acrcp_v1_71&sig=AOD64_3Lxq58nExbqr_a2LhHxr4LsKbF2Q&ctype=5&q=&nis=4&ved=2ahUKEwi-9Pnmhp2WAxW4ia8BHU_jKRIQ5bgDKAB6BAgLEA8&adurl=
Power supply,1,,
USB to TTL Converter,1,,https://www.universal-solder.ca/product/ft232-usb-uart-serial-adapter-3-3v-5v/?wmc-currency=CAD
ST-Link,1,,
Oscilloscope,1,Nice to have,
